Task,Assignees,Instructions,Media_Path,Last_Completed,Missed,Status
Empty Dishwasher,[],,,,,Active
Garbage/Recycling (Whole house),[],,,,,Active
Dinner,[],,,,,Active
Predinner Clean,[],,,,,Active
Dishes,[],,,,,Active
Load & Start Dishwasher,[],,,,,Active
Wipe Counters,[],,,,,Active
Sink,[],,,,,Active
Sweep/Vacuum,[],,,,,Active
Swiffer Mop,[],,,,,Active
Clutter,[],,,,,Active
Put Away Dishes,[],,,,,Active
Breakfast Clean Up (If Home),[],,,,,Active
Lunch Clean Up (If Home),[],,,,,Active
Logan's Room - Make Bed,[],,,,,Active
Logan's Room - Clutter,[],,,,,Active
Logan's Room - Sweep/Vacuum,[],,,,,Active
Main Bedroom - Make Bed,[],,,,,Active
Main Bedroom - Sweep/Vacuum,[],,,,,Active
Main Bedroom - Clutter,[],,,,,Active
Dining Room - Table,[],,,,,Active
Dining Room - Kid Table,[],,,,,Active
Dining Room - High Chair,[],,,,,Active
Dining Room - Sweep/Vacuum,[],,,,,Active
Dining Room - Swiffer Mop,[],,,,,Active
Toys/Book Clean Up - Morning,[],,,,,Active
Toys/Book Clean Up - Afternoon,[],,,,,Active
Toys/Book Clean Up - Evening,[],,,,,Active
Toys/Book Clean Up - Bedtime,[],,,,,Active
