Task,Assignees,Instructions,Media_Path,Last_Completed,Missed,Status
Fronthall - Walls,[],,,,,Active
Fronthall - Door,[],,,,,Active
Fronthall - Organize Closet,[],,,,,Active
Living Room - Walls,[],,,,,Active
Living Room - Organize Inside Table,[],,,,,Active
Living Room - Organize TV Stand,[],,,,,Active
Kitchen - Walls/Cupboards,[],,,,,Active
Kitchen - Organize Cupboards,[],,,,,Active
Kitchen - Organize Under Sink,[],,,,,Active
Hallway - Empty Vacky's Stand,[],,,,,Active
Hallway - Walls,[],,,,,Active
Hallway - Doors,[],,,,,Active
Hallway - Clean Laundry Room,[],,,,,Active
Storage Room - Organize Shelves,[],,,,,Active
Storage Room - Mop,[],,,,,Active
Main Bathroom - Under Sink,[],,,,,Active
Main Bathroom - Medicine Cabinet,[],,,,,Active
Bedroom Bathroom - Under Sink,[],,,,,Active
Bedroom Bathroom - Linens,[],,,,,Active
Logan's Bedroom - Toys through dishwasher,[],,,,,Active
Logan's Bedroom - Closet,[],,,,,Active
Logan's Bedroom - Organize Toys,[],,,,,Active
Main Bedroom - Organize Closet,[],,,,,Active
Main Bedroom - Organize Dresser,[],,,,,Active
