Task,Assignees,Instructions,Media_Path,Last_Completed,Missed,Status,Due_Date
Book Dentist Appointment,[],,,,,Active,
Measure Windows,[],,,,,Active,
Home Depot - Blinds,[],,,,,Active,
Donate Crutches to Horizon View,[],,,,,Active,
Book Armpit Wax,[],,,,,Active,
Clean Light Fixtures - Main Bathroom,[],,,,,Active,
Clean Light Fixtures - Bedroom Bathroom,[],,,,,Active,
Clean Light Fixtures - Kitchen,[],,,,,Active,
Minute Keys Refund,[],,,,,Active,
Family Photo - Daycare,[],,,,,Active,
Drop off Dangers Goods/Cords,[],,,,,Active,
Fix Fan Controller,[],,,,,Active,
Ryker B-Day gift,[],,,,,Active,
Damion B-Day gift,[],,,,,Active,
Upload Sunlife Insurance,[],,,,,Active,
Bring Chairs to Shop,[],,,,,Active,
