Task,Assignees,Instructions,Media_Path,Last_Completed,Missed,Status
Main Bathroom - Mirrors,[],,,,,Active
Main Bathroom - Potty,[],,,,,Active
Main Bathroom - Counter/Sink,[],,,,,Active
Main Bathroom - Toilet,[],,,,,Active
Main Bathroom - Tub,[],,,,,Active
Main Bathroom - Floors,[],,,,,Active
Bedroom Bathroom - Mirror,[],,,,,Active
Bedroom Bathroom - Counter/Sink,[],,,,,Active
Bedroom Bathroom - Toilet,[],,,,,Active
Bedroom Bathroom - Tub,[],,,,,Active
Bedroom Bathroom - Floors,[],,,,,Active
Bedroom Bathroom - Little Dresser,[],,,,,Active
Logan's Bedroom - Dresser,[],,,,,Active
Logan's Bedroom - Change Table,[],,,,,Active
Logan's Bedroom - Bookcase,[],,,,,Active
Logan's Bedroom - Change Sheets,[],,,,,Active
Logan's Bedroom - Mop,[],,,,,Active
Logan's Bedroom - Window Sill,[],,,,,Active
Main Bedroom - Change Sheets,[],,,,,Active
Main Bedroom - Dresser,[],,,,,Active
Main Bedroom - Side Tables,[],,,,,Active
Main Bedroom - Mop,[],,,,,Active
Main Bedroom - Bookcase,[],,,,,Active
Main Bedroom - Bed,[],,,,,Active
Main Bedroom - Windowsills,[],,,,,Active
Laundry - Clothes Wash/Dry Load 1,[],,,,,Active
Laundry - Clothes Fold Load 1,[],,,,,Active
Laundry - Clothes Put Away Load 1,[],,,,,Active
Living Room - Vacuum Couch,[],,,,,Active
Living Room - Wipe Table,[],,,,,Active
Living Room - Wipe TV Stand,[],,,,,Active
Living Room - Mop,[],,,,,Active
Kitchen - Clean Fridge,[],,,,,Active
Kitchen - Clean Microwave,[],,,,,Active
Kitchen - Mop,[],,,,,Active
Kitchen - Clean Dishwasher,[],,,,,Active
